id,name,category,description,input_data,output_data,open_source,api,website
1,DreamWeaver Core,Sleep & Wellness,Generates bedtime stories based on sleep duration and stress level. (Version 1),"sleep_hours,stress_level",bedtime_story,No,Yes,https://dream-weaver-sleep-aware-bedtime-st.vercel.app/ 
2,DreamSound AI,Wellness,Creates personalized soundscapes for relaxation and deep sleep. (Version 1),"sleep_hours,preferred_sounds",soundscape,Yes,Yes,https://mood-sound-dream-05.vercel.app/ 
3,DreamSketcher,Health,Turns dream journal entries into calming illustrations. (Version 1),dream_text,dream_illustration,No,No,https://dream-canvas-glow.vercel.app/
4,NightCoach AI,Fitness,Provides motivational messages and rituals before bedtime. (Version 1),"stress_level,mood",sleep_ritual,Yes,Yes,https://peaceful-dreams-your-evening-sanctu.vercel.app/ 
5,DreamPredictor,Productivity,Analyzes habits to predict likelihood of vivid dreams. (Version 1),"sleep_hours,stress_level,activity_level",dream_prediction,No,Yes,https://dream-scope-predict-your-vivid-drea.vercel.app/ 
6,DreamMix AI,Lifestyle,Blends your favorite characters into custom dream-inspired stories. (Version 1),dream_characters,personalized_story,Yes,No,https://ficti-dream-generator.vercel.app/ 
7,DreamGuide AI,Entertainment,Suggests meditation exercises based on daily mood. (Version 1),"stress_level,mood",guided_meditation,No,Yes,https://mind-muse-ai-companion-05.vercel.app/
8,SleepSync AI,Culture,Syncs sleep data with wearable devices to adjust dream content. (Version 1),wearable_data,adaptive_story,Yes,Yes,https://dream-fusion-ai-dream-story-generat.vercel.app/
9,DreamVisualizer,Sleep & Wellness,Transforms your sleep stats into colorful dream-style art. (Version 1),"sleep_hours,heart_rate",dream_art,No,No,https://example.com/dreamweaver/tool9
10,DreamBuddy AI,Wellness,A friendly chatbot that chats before bedtime to reduce stress. (Version 1),"mood,stress_level",conversation,Yes,Yes,https://example.com/dreamweaver/tool10
11,DreamWeaver Core v2,Health,Generates bedtime stories based on sleep duration and stress level. (Version 2),"sleep_hours,stress_level",recipe,No,Yes,https://dream-weaver-sleep-aware-bedtime-st.vercel.app/ 
12,DreamSound AI v2,Fitness,Creates personalized soundscapes for relaxation and deep sleep. (Version 2),"sleep_hours,preferred_sounds",daily_plan,Yes,No,https://mood-sound-dream-05.vercel.app/ 
13,DreamSketcher v2,Productivity,Turns dream journal entries into calming illustrations. (Version 2),dream_text,aura_report,No,Yes,https://dream-canvas-glow.vercel.app/
14,NightCoach AI v2,Lifestyle,Provides motivational messages and rituals before bedtime. (Version 2),"stress_level,mood",fitness_routine,Yes,Yes,https://peaceful-dreams-your-evening-sanctu.vercel.app/ 
